budget,original_language,viewercount,release_date,revenue,runtime,vote_count,vote_average,English,Français,Español,Deutsch,Pусский,Drama,Comedy,Thriller,Action,Romance,duringcreditsstinger,woman director,based on novel,independent film,aftercreditsstinger,Warner Bros.,Universal Pictures,Paramount Pictures,Columbia Pictures,Twentieth Century Fox Film Corporation,United States of America,United Kingdom,Germany,France,Canada,hasBudget,hasRevenue,voteCountCategory,runtimeCategory,spoken_languages_count,genres_count,keywords_count,production_companies_count,production_countries_count,original_title_tfidf_0,original_title_tfidf_1,original_title_tfidf_2,original_title_tfidf_3,original_title_tfidf_4,original_title_tfidf_5,original_title_tfidf_6,original_title_tfidf_7,original_title_tfidf_8,original_title_tfidf_9,overview_tfidf_0,overview_tfidf_1,overview_tfidf_2,overview_tfidf_3,overview_tfidf_4,overview_tfidf_5,overview_tfidf_6,overview_tfidf_7,overview_tfidf_8,overview_tfidf_9,tagline_tfidf_0,tagline_tfidf_1,tagline_tfidf_2,tagline_tfidf_3,tagline_tfidf_4,tagline_tfidf_5,tagline_tfidf_6,tagline_tfidf_7,tagline_tfidf_8,tagline_tfidf_9
0.5823917952072645,-0.14498858316647356,-0.6667364914379613,0.7077324373782823,1.1690530340981746,-0.6101197537958157,0.4324571260016169,5.8,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,3,1,1.5288583254264898,1.226093388644636,0.2967308220197957,-0.059793591204323385,3.1161100550080856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3530020730468518,0.40263024446025153,0.0,0.0,0.7544808281904648,0.0,0.0,0.37952220299151607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5206373334501133,-0.14498858316647356,-0.2930243691373489,-0.875245256961383,-0.4647228852406658,0.10592127688937598,-0.3944457786804818,6.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,-0.5384166249499739,1.226093388644636,2.1595608473972985,-0.9483643670964454,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46936783780728714,0.8830027365937844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.25686949833639255,-0.14498858316647356,-0.6160816893157315,-0.48590358308679066,-0.5649758708090064,0.34460162045110654,-0.6042569634505666,6.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,2,-0.5384166249499739,-1.4746298353884988,-0.6346841906689558,-0.5040789791503845,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.669306476877847,-0.14498858316647356,-0.40377321630820306,-0.020001370122792753,-0.43952672780972385,-0.3714394102340851,-0.5008941003653042,6.4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,2,0.4952208502382579,-0.5743887607107873,1.5386175056047977,1.2730625726338598,0.7018695305544024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4131266627944908,0.0,0.0,0.0,0.38641393286190434,0.8246275722885349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34260285419479103,-0.14498858316647356,1.1378787745942367,-0.5850780892381914,0.06416181060372289,0.9174344449992599,0.5427622709358895,7.5,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,3,1.5288583254264898,0.3258523139669243,-0.4794483552208305,-0.059793591204323385,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6981315413785842,0.0,0.0,0.7159695181586727,0.0,0.0,0.0,0.0,0.0
0.5823917952072645,-0.14498858316647356,0.7589899197469769,-0.8673439913614088,0.7256969232757402,0.6310180327251832,0.5504759174347896,7.2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,3,0.4952208502382579,-0.5743887607107873,-0.16897668432458,-0.9483643670964454,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34260285419479103,-0.14498858316647356,0.3756884703080424,1.2461083279144576,-0.245378012831961,-0.46691154765877735,-0.004135265836132979,4.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,-0.5384166249499739,-1.4746298353884988,-0.32421251977270527,-0.5040789791503845,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6645106980575974,-0.14498858316647356,-0.0850657849142569,-1.9296555284062205,-0.16516330408423674,0.05818520817702987,-0.3713048391837813,6.1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,0.4952208502382579,0.3258523139669243,-0.9451558615652063,-0.9483643670964454,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.7004790392094684,-0.14498858316647356,-0.39759423000447464,-2.298290437260191,-0.38476015879795655,-0.2282312040970468,-0.4978086417657442,6.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,-0.5384166249499739,0.3258523139669243,2.935740024637925,-0.5040789791503845,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0548561249798229,-0.14498858316647356,0.7331178065208506,0.7360680105643969,0.89138227530248,0.01044913946468376,0.6677233442180722,7.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,2,-0.5384166249499739,0.3258523139669243,-0.4794483552208305,0.38449179674173767,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8695030133863609,0.0,0.0,0.4939276361088109,0.0,0.0,0.0,0.0,0.0,0.7859362277048206,0.0,0.0,0.0,0.0,0.0,0.6183075658449575,0.0,0.0,0.0
